dimensions,display_url,owner_id,owner_username,is_video,captions,comments_count,comments_disabled,taken_at,like_count,taken_location
1080x1350,https://instagram.fbkk10-1.fna.fbcdn.net/v/t51.2885-15/363494647_228517659643229_1228620489484592647_n.heic?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fbkk10-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=1c-5UCkEghkAX993kN3&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfBv8P2Ved6nf94EyWYP_vIkOrXb7gcTiBlykIJ-NaA1MA&oe=650653D2&_nc_sid=8b3546,54796039695,taco.jaco,False,"🚊 + 🌙 + 🌧 = 🤩

📷 Nikon D5300
🔭 Nikon DX AF-S 18-105mm f/3.5-5.6G ED VR 
📍 Wan Chai, Hong Kong
📆 17 July 2023

#wanchai #wanzai #wanchaihk #tram #hongkongtram #hktram #hktramways #publictransport #publictransit #publictransithk #publictransporthk #mtr #skyscraper #dingding #causewaybay #causewaybayfood #causewaybayhk #central #centralhk #centralhongkong #hongkong #hk #hksar #china #night #nightphotography #photographer #photography #nikon #nikondx",0,False,1690516132,9,Wan Chai 灣仔
1080x1350,https://instagram.fbkk10-1.fna.fbcdn.net/v/t51.2885-15/362365894_1752196555238483_6623191675261423894_n.heic?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fbkk10-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=L4OSe9Ig8YEAX8b9OSH&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfDqVDNLv2xWp99B0at43do930Ffxe-HAhVOz3W3v9-Dlg&oe=6506A14E&_nc_sid=8b3546,54796039695,taco.jaco,False,"Steep walkway parallel to the escalators in Central!

📷 Nikon D5300
🔭 Nikon DX AF-S 18-105mm f/3.5-5.6G ED VR 
📍 Central, Hong Kong
📆 17 July 2023 (Yes, T8)

#central #centralhk #centralhongkong #midlevels #escalatorshk #starferry #ferryhk #tst #tsimshatsui #mtr #mtrhk #hongkong #hk #hkg #explorehk #bus #busspotting #citybus #cityflyer #lwb #kmb #panningshot #panning #photography #photographer #nikon #nikond5300 #d5300 #nikondx #dslr",0,False,1690197981,5,"Central, Hong Kong"
1080x1350,https://instagram.fbkk10-1.fna.fbcdn.net/v/t51.2885-15/374734458_3101579003479625_8929484655944882666_n.heic?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fbkk10-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=D_Z3mz-TPP8AX9fPCau&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfD3PQ7rHKYRSg1oUVi6POMX7mBnSWwhx1e7qCzdcxyb4Q&oe=65053C14&_nc_sid=8b3546,54796039695,taco.jaco,False,Imagine if it was us on the swing.,0,False,1694013076,4,The Habitat Penang Hill
1080x771,https://instagram.fbkk10-1.fna.fbcdn.net/v/t51.2885-15/373381954_1213373229331923_988002146082662515_n.webp?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fbkk10-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=N6Umgvn4xqYAX-fy36B&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfA6yN3NSZs7sRfsbWpHE4uUvpzesF7MD9VbaWvqUYM_Nw&oe=65067FB8&_nc_sid=8b3546,53843692849,aqeelhasacamera,False,"Queen Of The Skies.

+ Western Global Airlines
+ B747 - 400F
+ N344KD
+ 31.1 Years

#westernglobalairlines #westernglobal #socialcredit #china #hk #hongkong #nice #boeinglovers #boeing747 #747400 #747lovers #pw #prattwhitney #747 #aviation #aviationlovers #aviationphotography #avgeek #av #planes #plane #planespotter #planespotting #photography #us #america",4,False,1693630002,51,The Habitat Penang Hill
1080x1349,https://instagram.fbkk10-1.fna.fbcdn.net/v/t51.2885-15/372247774_311955051391337_9147392807994097869_n.heic?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fbkk10-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=EwOkeypgUqEAX8Zxg7Z&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfCBCjhyiBT2CIZBOkqQZqbqZ8t-1tob9T1cqJy4GUPc8w&oe=6505D48E&_nc_sid=8b3546,54796039695,taco.jaco,False,"🇲🇾 selamat hari merdeka ke-66!

#malaysiamadani #merdeka #harimerdeka #harikebangsaan",0,False,1693453678,5,The Habitat Penang Hill
1080x720,https://instagram.fbkk10-1.fna.fbcdn.net/v/t51.2885-15/365419196_2233559267034281_5467890495303294835_n.heic?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fbkk10-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=0tfWgKrRfiIAX_6RnIN&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfDf92AI8_f038vqeyaqdTkZxrubKTgbxuDtpOo5oweBMg&oe=65068469&_nc_sid=8b3546,54796039695,taco.jaco,False,"brr Cathay 77W go *loud plane noises*

📷 Nikon D5300
🔭 Sigma 70-300mm f/4-5.6G APO DG Macro HSM 
📍 Hong Kong International Airport 
📆 16 July 2023

🇭🇰 Cathay Pacific
🛩 CX2717 | HKG-SIN
✈️ B-KQJ | Boeing 777-367ER

#cathaypacific #cathay #cx #cathaypacificairlines #oneworld #oneworldalliance #hongkong #hk #hkg #vhhh #hkia #hongkongairport #hongkonginternationalairport #boeing #boeing777 #b77w #77w #boeing77w #planespotting #planespotter #photography #photographer #nikon #sigma #telephoto #fyp #foryou #fyp #foryoupage #recommended",0,False,1691417938,8,Hong Kong International Airport 香港國際機場
1080x719,https://instagram.fbkk10-1.fna.fbcdn.net/v/t51.2885-15/364264691_634682155090171_4443561320278789600_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fbkk10-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=fvSJ8aW26lcAX9e1WVe&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfAt4W_gwgwkaQI8hfEfZNmDeWKFM386X8lD3-donmy1iQ&oe=65065378&_nc_sid=8b3546,23383088609,aydantooksomephotos,False,"United getting ready for its departure to cross the Pacific once again back home from Hong Kong. 

Airline l United Airlines
Aircraft l Boeing 777-322(ER)
Registration l N2136U
Route l HKG-SFO

@united @hongkongairport 
#united #unitedairlines #united777 #usa #america #sanfrancisco #ksfo #hongkong #hkg #boeing #boeinglovers #b77w #777 #boeing777 #boeing777300er #aviation #aviationphotography #aviationlovers #aviationdaily #aviationgeek #plane #planespotting #planespotters #planepics #planelovers #photography #lightroom #taxi #nikon",1,False,1690897677,48,Hong Kong International Airport 香港國際機場
1080x720,https://instagram.fbkk10-1.fna.fbcdn.net/v/t51.2885-15/363811403_239234395691239_51855450319921071_n.heic?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fbkk10-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=NDjgn7Qncn0AX_CEGim&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfABj0msnIt6SnQe-Tg9V35UHlqxn6_EN-UgxG6-oPXJ3A&oe=65061051&_nc_sid=8b3546,54796039695,taco.jaco,False,"I believe you've seen this building in TVB dramas before.

📷 Nikon D5300
🔭 Nikon DX AF-S 18-105mm f/3.5-5.6G ED VR 
📍 Court of Final Appeal, Hong Kong
📆 17 July 2023

#centralhongkong #central #centralhk #wanchaihk #wanchai #court #justice #courtroom #courtoffinalappeal #hongkong #hongkongisland #hk #explorehk #explorehongkong #photography #photographer #nightphotography #night #tram #hongkongtram #hongkongtramways #nikon #dslr #fyp #foryou #foryoupage #explore #explorepage #travel #recommended",0,False,1690777369,4,The Court Of Final Appeal 終審法院
1080x1350,https://instagram.fbkk10-1.fna.fbcdn.net/v/t51.2885-15/363822880_1342721123322817_1860458345796290312_n.heic?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fbkk10-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=yTlfsDWZYFIAX-Q6mxQ&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfDZEKIOgxvF4dzwXdCPCSpbbcYDxZNfJgF3ODWBQBGh7Q&oe=6505BCC8&_nc_sid=8b3546,54796039695,taco.jaco,False,"Ding Ding No. 88 coming through!

📷 Nikon D5300
🔭 Nikon DX AF-S 18-105mm f/3.5-5.6G ED VR 
📍 Causeway Bay, Hong Kong
📆 16 July 2023

#tram #dingding #hongkongtramways #hongkongtrams #hktram #hktramways #central #wanchai #causewaybay #centralhk #wanchaihk #admiralty #hongkong #hk #hkisland #hongkongisland #panning #trainspotting #trains #publictransport #railway #transit #photography #photographer #nikon #nikondx #fyp #foryou #foryoupage #recommended",0,False,1690711970,6,The Court Of Final Appeal 終審法院
1080x720,https://instagram.fbkk10-1.fna.fbcdn.net/v/t51.2885-15/363278978_272934495444881_7716305575574036218_n.heic?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fbkk10-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=tMnqYhj41kYAX8KUVYe&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfDi631-RhPmkpNQNBXlRuuu3xRdHHN_0wiIlq6YQPcFzw&oe=650625CB&_nc_sid=8b3546,54796039695,taco.jaco,False,"Watch that Scoot go!

📷 Nikon D5300
🔭 Nikon DX AF-S 18-105mm f/3.5-5.6G ED VR 
📍 Hong Kong International Airport
📆 16 July 2023

#scoot #scootairlines #singapore #singaporeairlines #sia #sq #singaporechangi #changiairport #changi #sin #wsss #boeing #boeing787 #787 #787dreamliner #dreamliner #plane #aircraft #planelovers #aviation #planespotter #planespotting #airline #hongkong #hk #hongkonginternationalairport #photography #photographer #nikon #nikondx",2,False,1690535820,6,Hong Kong International Airport 香港國際機場
